,text,language_code,text_code,n_chars,script_name,script_type,language,language_family,language_sub_family,font,oreintation,characters,consonants,vowels,secondary_type,path,text_width,text_pixels
0,other,en,0,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_0.jpeg,86,693
1,there,en,1,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_1.jpeg,85,697
2,which,en,2,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_2.jpeg,90,762
3,their,en,3,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_3.jpeg,73,589
4,about,en,4,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_4.jpeg,91,782
5,write,en,5,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_5.jpeg,77,677
6,would,en,6,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_6.jpeg,95,837
7,these,en,7,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_7.jpeg,86,751
8,thing,en,8,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_8.jpeg,81,712
9,could,en,9,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_9.jpeg,86,705
10,number,en,10,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_10.jpeg,126,959
11,sound,en,11,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_11.jpeg,97,789
12,people,en,12,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_12.jpeg,107,991
13,water,en,13,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_13.jpeg,88,780
14,first,en,14,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_14.jpeg,60,509
15,place,en,15,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_15.jpeg,82,736
16,where,en,16,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_16.jpeg,98,844
17,after,en,17,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_17.jpeg,75,650
18,little,en,18,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_18.jpeg,68,598
19,round,en,19,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_19.jpeg,96,735
20,every,en,20,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_20.jpeg,84,752
21,under,en,21,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_21.jpeg,95,739
22,through,en,22,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_22.jpeg,129,1063
23,sentence,en,23,8,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_23.jpeg,142,1165
24,great,en,24,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_24.jpeg,83,766
25,think,en,25,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_25.jpeg,79,643
26,differ,en,26,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_26.jpeg,84,761
27,cause,en,27,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_27.jpeg,89,742
28,before,en,28,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_28.jpeg,104,916
29,right,en,29,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_29.jpeg,74,652
30,three,en,30,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_30.jpeg,85,697
31,small,en,31,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_31.jpeg,82,677
32,large,en,32,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_32.jpeg,80,737
33,spell,en,33,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_33.jpeg,72,659
34,follow,en,34,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_34.jpeg,95,862
35,change,en,35,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_35.jpeg,115,1004
36,light,en,36,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_36.jpeg,69,645
37,house,en,37,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_37.jpeg,96,787
38,picture,en,38,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_38.jpeg,109,888
39,again,en,39,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_39.jpeg,84,783
40,animal,en,40,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_40.jpeg,104,843
41,point,en,41,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_41.jpeg,80,681
42,mother,en,42,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_42.jpeg,117,915
43,world,en,43,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_43.jpeg,88,775
44,build,en,44,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_44.jpeg,77,677
45,earth,en,45,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_45.jpeg,84,692
46,father,en,46,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_46.jpeg,96,813
47,stand,en,47,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_47.jpeg,86,748
48,should,en,48,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_48.jpeg,106,885
49,country,en,49,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_49.jpeg,120,942
50,found,en,50,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_50.jpeg,94,774
51,answer,en,51,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_51.jpeg,112,954
52,school,en,52,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_52.jpeg,101,833
53,study,en,53,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_0.jpeg,84,763
54,still,en,54,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_1.jpeg,52,456
55,learn,en,55,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_2.jpeg,81,642
56,plant,en,56,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_3.jpeg,80,689
57,cover,en,57,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_4.jpeg,85,686
58,between,en,58,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_5.jpeg,135,1214
59,state,en,59,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_6.jpeg,76,687
60,never,en,60,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_7.jpeg,89,713
61,thought,en,61,7,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_8.jpeg,127,1085
62,cross,en,62,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_9.jpeg,80,643
63,start,en,63,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_10.jpeg,71,595
64,might,en,64,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_11.jpeg,91,792
65,story,en,65,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_12.jpeg,77,673
66,lizard,en,66,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_13.jpeg,82,714
67,while,en,67,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_14.jpeg,81,729
68,press,en,68,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_15.jpeg,83,727
69,close,en,69,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_16.jpeg,79,674
70,night,en,70,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_17.jpeg,81,712
71,north,en,71,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images/English_18.jpeg,88,661
