{'group_name_list': (('Arabic', 'Arabic'), ('Korean', 'Hangul')), 'stats': array([1333., 3667.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Spanish', 'Latin')), 'stats': array([1004., 3996.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Tamil', 'Tamil (Brahmic)')), 'stats': array([1024., 3976.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Bengali', 'Bengali–Assamese')), 'stats': array([1027., 3973.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('English', 'Latin')), 'stats': array([1054., 3946.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Hindi', 'Devanagari')), 'stats': array([1802., 3198.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Telugu', 'Telugu')), 'stats': array([1365., 3635.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Russian', 'Cyrillic')), 'stats': array([1560., 3440.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Chinese', 'Chinese (simplified)')), 'stats': array([2358., 2642.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Swahili', 'Latin')), 'stats': array([1606., 3394.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('English', 'Latin')), 'stats': array([ 742., 4258.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Vietnamese', 'Latin')), 'stats': array([1037., 3963.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Arabic', 'Arabic'), ('Spanish', 'Latin')), 'stats': array([ 989., 4011.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Korean', 'Hangul')), 'stats': array([1093., 3907.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Tamil', 'Tamil (Brahmic)')), 'stats': array([ 934., 4066.]), 'num_iterations': 5000, 'setting': '10lang_530strings'}
