{'group_name_list': (('Arabic', 'Arabic'), ('Korean', 'Hangul')), 'stats': array([190., 810.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('English', 'Latin')), 'stats': array([200., 800.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Bengali', 'Bengali–Assamese')), 'stats': array([193., 807.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Spanish', 'Latin')), 'stats': array([196., 804.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Tamil', 'Tamil (Brahmic)')), 'stats': array([196., 804.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Russian', 'Cyrillic')), 'stats': array([166., 834.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Chinese', 'Chinese (simplified)')), 'stats': array([462., 538.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Swahili', 'Latin')), 'stats': array([218., 782.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Hindi', 'Devanagari')), 'stats': array([509., 491.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Telugu', 'Telugu')), 'stats': array([120., 880.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Spanish', 'Latin')), 'stats': array([  1., 999.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('English', 'Latin')), 'stats': array([110., 890.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Korean', 'Hangul')), 'stats': array([644., 356.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Tamil', 'Tamil (Brahmic)')), 'stats': array([124., 876.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Vietnamese', 'Latin')), 'stats': array([ 61., 939.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Swahili', 'Latin')), 'stats': array([ 51., 949.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Telugu', 'Telugu')), 'stats': array([400., 600.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Arabic', 'Arabic'), ('Hindi', 'Devanagari')), 'stats': array([171., 829.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Chinese', 'Chinese (simplified)')), 'stats': array([782., 218.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
{'group_name_list': (('Bengali', 'Bengali–Assamese'), ('Russian', 'Cyrillic')), 'stats': array([217., 783.]), 'num_iterations': 1000, 'setting': '10lang_530strings_width_matched'}
