,text,language_code,text_code,n_chars,script_name,script_type,language,language_family,language_sub_family,font,oreintation,characters,consonants,vowels,secondary_type,path,text_width,text_pixels
0,trrrrhtheteh,en,0,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_0.jpeg,193,1477
1,thtrhrthhte,en,1,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_1.jpeg,179,1406
2,hichhhhcwc,en,2,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_2.jpeg,185,1489
3,iehiertrehei,en,3,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_3.jpeg,179,1488
4,ooautoottb,en,4,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_4.jpeg,175,1500
5,wrirtwwrrei,en,5,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_5.jpeg,176,1491
6,wdlwololoo,en,6,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_6.jpeg,177,1604
7,tseeeteeshe,en,7,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_7.jpeg,189,1687
8,hthggthhgh,en,8,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_8.jpeg,189,1734
9,duloolcood,en,9,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_9.jpeg,175,1487
10,muenmbur,en,10,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_10.jpeg,178,1325
11,ussodoudnu,en,11,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_11.jpeg,194,1580
12,oellllepepllp,en,12,6,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_12.jpeg,191,1739
13,ereaerrwete,en,13,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_13.jpeg,192,1640
14,srifrtirtfritirr,en,14,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_14.jpeg,187,1446
15,peacepcepl,en,15,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_15.jpeg,176,1601
16,eeeeweerer,en,16,5,Latin,alphabet,English,Indo-European,,NotoSans-Regular.ttf,left-right,,,,,data/images_scrambled_7char/English_16.jpeg,186,1633
